Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
ASP Net Developer,Not Disclosed by Recruiter,1-3,oracle_sql software_development_life_cycle asp.net server development technical software .net it sql quality,Programming_&_Design,AHMEDABAD,IT_Software,IT-Software Software_Services,Software Developer
IT Exceutive,"1,50,000-3,25,000",1-3,payroll_software security access_control networking cctv office_365,N.A.,NCR DELHI,IT_Software,Accounting Finance,Maintenance Engineer
Game Developer,"5,00,000-8,00,000",0-2,c# unity3d c++ games .net ios game_development android,Programming_&_Design,CHANDIGARH,IT_Software,IT-Software Software_Services,Software Developer
Branch Service Partner,Not Disclosed by Recruiter,7-10,compliance audit_compliance customer_satisfaction customer_service service_quality operations monitoring iso_9001-2000 six_sigma auditing,N.A.,GURGAON MANESAR HARYANA,Financial_Services Banking Investments Insurance,Banking Financial_Services Broking,Operations Officer
Accounts Finance Manager,"8,00,000-9,00,000",10-12,accounting finance accounting_management financial_management,Accounts,NCR DELHI,Accounts Finance Tax Company_Secretary Audit,Accounting Finance,Accounts Manager
Senior Engineer Civil Finishing,Not Disclosed by Recruiter,6-11,construction construction_engineering mentor civil_engineering,Other,PUNE HYDERABAD,IT_Software,Construction Engineering Cement Metals,Trainee
Customer Support Associate Technical Suport Engineer Sal upto ,"2,25,000-4,50,000",0-4,bpo csr customer_relationship technical_support_engineer inbound customer_service customer_care call_center customer_support tsr outbound technical_service customer_support_officer,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Systems Network Engineering,Not Disclosed by Recruiter,1-3,aix storage_management suse virtualization linux hp_ux networking windows consolidation,N.A.,SECUNDERABAD HYDERABAD,IT_Software,IT-Software Software_Services,System Administrator
Assistant Manager Information Technology,Not Disclosed by Recruiter,6-8,routers windows_active_directory switches firewalls,N.A.,TIRUPATI HYDERABAD,IT_Software,BPO Call_Centre ITeS,IT/Networking-Manager
Accounts Finance Executive,"2,00,000-3,00,000",2-5,accounting tds finance tally_erp receipt gst banking_operations excel rtgs,Accounts,MUMBAI,Accounts Finance Tax Company_Secretary Audit,Construction Engineering Cement Metals,Accounts Executive/Accountant
Hiring For Service Engineer CRM Colston Bath Spa Pvt Ltd Delhi,"1,50,000-2,50,000",1-3,service_engineering installation after_sales_engineering maintenance,N.A.,DELHI,Production Manufacturing Maintenance,Ceramics Sanitary_ware,Service/Maintenance Engineer
Walk in For API Plant pharma Hyderabad,Not Disclosed by Recruiter,1-5,qa qc production shift_incharge shift_engineer api_manufacturing engineering_services,R&D,HYDERABAD,Medical Healthcare R&D Pharmaceuticals Biotechnology,Pharma Biotech Clinical_Research,Research Scientist
HR Generalist mumbai Kandivali ,Not Disclosed by Recruiter,2-4,hr_generalist_activities fresher hr_generalist mba_fresher hiring hr_operations onboarding hr_fresher,HR Recruitment IR,MUMBAI,HR Recruitment Administration IR,Recruitment Staffing,HR Executive
Java Webservices,Not Disclosed by Recruiter,3-5,six_sigma pmp python assembly_language javascript .net html oracle sql,Programming_&_Design,CHENNAI,IT_Software,Recruitment Staffing,Software Developer
Salesforce Lightning,Not Disclosed by Recruiter,4-8,business_process automation jquery configuration_management javascript agile_methodology outsourcing high_level_design troubleshooting salesforce,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Sr Developer Java Backend,Not Disclosed by Recruiter,4-7,backend software_services,Programming_&_Design,GURGAON,IT_Software,Recruitment Staffing,Software Developer
Looking For Qlikview or Qliksense Developer with Bi client Location,Not Disclosed by Recruiter,3-7,database_architect business_intelligence project_implementation development,Programming_&_Design,KOLKATA,IT_Software,IT-Software Software_Services,Software Developer
Java Springboot,Not Disclosed by Recruiter,3-5,hibernate tomcat core_java maven spring_mvc css3 sql spring spring_boot web_services application testing_tools db2 jpa mvc soap,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Hiring graphic Designer reputed Manufacturing Industry mumbai k,"2,00,000-3,00,000",1-5,illustrator photoshop graphic_designer adobe_illustrator corel_draw gif senior_graphic_designer,Creative,MUMBAI NAVI THANE,Design Creative User_Experience,Sugar,Graphic Designer
GNM Bsc Staff Nurse Senior Nurse for ITU,Not Disclosed by Recruiter,0-3,patient_care nursing bsc gnm emergency hospital,Medical_Professional,KOLKATA,Medical Healthcare R&D Pharmaceuticals Biotechnology,Medical Healthcare Hospitals,Staff Nurse
BPO International Voice Process Upto K Salary Call manali,"2,00,000-5,00,000",0-5,bpo customer_service ar_calling technical_support domestic_bpo voice_process call_center uk_shift us international_bpo,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Mean Full Stack Developer,Not Disclosed by Recruiter,2-5,angularjs css html5 postgresql node.js mean_stack javascript mongodb react.js mean_stack_developer,Programming_&_Design,CHENNAI,IT_Software,IT-Software Software_Services,Software Developer
Marketing Executive CCTV Security Systems ,Not Disclosed by Recruiter,2-7,security_systems channel_sales marketing_executive cctv,Sales,AHMEDABAD,Sales Retail Business_Development,Recruitment Staffing,Sales/Business Development Manager
Graphic Designer,Not Disclosed by Recruiter,1-3,graphics visualizing illustrator corel_draw pagemaker magazines dreamweaver photoshop graphic_designing indesign,Creative,PUNE,Design Creative User_Experience,Media Entertainment Internet,Graphic Designer
Hiring for AR Caller in US Healthcare Process,"3,75,000-4,50,000",1-6,healthcare_bpo us_healthcare customer_care ar_calling medical_billing outbound_process outbound_calling accounts_receivable customer_satisfaction insurance_claims,Voice,NCR CHENNAI NOIDA DELHI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
WordPress Developer ,Not Disclosed by Recruiter,2-7,html javascript php css joomla training oop jquery web_technologies web wordpress design json programming ajax magento,Programming_&_Design,AHMEDABAD,IT_Software,IT-Software Software_Services,Software Developer
Mohali Chandigarh BBA BBA Fresher BCA BCA Fresher BSc BA,"1,75,000-3,25,000",0-5,bba bca domestic_bpo international_bpo mca_fresher bsc telecalling international_call_center bba_fresher mba_fresher telemarketing ba,Voice,CHANDIGARH MOHALI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Genpact Mega Walk in For International Voice Process Meerut,Not Disclosed by Recruiter,0-2,csr international_bpo cce inbound customer_service outbound_calling us_shifts csa fresher uk_shifs international_voice_process international_call_centre solving_queries collections us_collections senior_executive,Voice,NCR DELHI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITES,Associate/Senior Associate -(NonTechnical)
Windows Driver Developer,Not Disclosed by Recruiter,3-8,windows_driver_development debugging,Engineering_Design,BENGALURU,Engineering_Design R&D,IT-Hardware_&_Networking,Design Engineer
Customer Relationship Manager,"2,50,000-3,50,000",2-5,customer_relationship business_expansion new_product_development relationship_management field_operations financial_products business_development banking_sales crm unsecured_loans,Retail Personal_Banking,BENGALURU,Financial_Services Banking Investments Insurance,Banking Financial_Services Broking,CRM/Phone/Internet Banking Executive
Software Engineer,Not Disclosed by Recruiter,2-7,b_tech development java oracle c jsp linux mysql mca jdbc,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
Walk in for Junior Accounts Payable Executive,Not Disclosed by Recruiter,0-5,accounting accounts_payable expenses reconciliation payments invoicing,Accounts,PUNE,Accounts Finance Tax Company_Secretary Audit,Accounting Finance,Accounts Executive/Accountant
UI Developer ,Not Disclosed by Recruiter,6-9,javascript agile testing_tools maven css3 front_end backend manager_technology technical_documentation web_technologies,Programming_&_Design,PUNE,IT_Software,IT-Software Software_Services,Software Developer
Genpact Mega Walkin Drive for International Voice us Collection,Not Disclosed by Recruiter,0-5,international_voice us_collections b2b_collections b2c_collections b2b_sales uk us australian_shifts international_bpo customer_service customer_care customer_support international_call_center voice_process escalations cce csr cse us_shifts,Voice,NCR DELHI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITES,Associate/Senior Associate -(NonTechnical)
Bde buissness Development Executive ,Not Disclosed by Recruiter,1-2,sales_executive,Sales,AHMEDABAD,Sales Retail Business_Development,Recruitment Staffing,Sales/Business Development Manager
Business Analytics Professor,Not Disclosed by Recruiter,10-15,counselor mentor trainer lecturer teaching,University_Level,HYDERABAD,Teaching Education Training Counselling,Education Teaching Training,Lecturer/Professor
Need International Tech Caller Inbound Process,Not Disclosed by Recruiter,0-3,help_desk customer_service data_analysis tech_support bpo voice customer_relationship cce inbound customer_service caller technical_support voice_process access_controls outbound uk calling non_voice us,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
UI UX designer,Not Disclosed by Recruiter,2-7,html javascript jquery technical software technical_writing usability ui web design mvc email programming psd development website ux level http css3 quality application illustrator consulting photoshop support,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
SME Security,Not Disclosed by Recruiter,2-6,testing tcp firewall vpn ssl nat load_balancing analytical wireshark content_filtering,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Software Developer
Customer Happiness Operations,Not Disclosed by Recruiter,1-2,operations ideas communication support li make email primary customer,Back_Office Web Transaction_Processing,PUNE,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Business Analyst Prime vendor,Not Disclosed by Recruiter,4-6,product_launch microstrategy administration surgical business_analyst project_management healthcare vendor ms_office sharepoint,Programming_&_Design,PUNE,IT_Software,Pharma Biotech Clinical_Research,Business Analyst
Mulesoft Developer For Greater Noida,Not Disclosed by Recruiter,4-9,mule_esb,Programming_&_Design,NCR DELHI,IT_Software,IT-Software Software_Services,Software Developer
Electrician,Not Disclosed by Recruiter,0-5,electrician cctv store electronics bms iti,N.A.,GURGAON BHIWANI DHARUHERA,Production Manufacturing Maintenance,Recruitment Staffing,Workman/Foreman/Technician
Business Development Executive bde ,"1,50,000-3,00,000",2-7,sales business_generation concept_selling relationship_building outdoor_advertising concept_sales business_development advertising,Sales,CHENNAI PUNE LUCKNOW KOLKATA BENGALURU,Sales Retail Business_Development,Advertising PR MR Event_Management,Sales/Business Development Manager
English Trainer,Not Disclosed by Recruiter,3-8,accent english_training trainer grammar employee_training corporate_trainer english_language soft_skills spoken_english language_training needs_assessment,Teachers,HYDERABAD,Teaching Education Training Counselling,Telcom ISP,Soft Skill Trainer
Hiring UI Developer for Hyderabad Location,Not Disclosed by Recruiter,3-8,tdd ui_development agile_development,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,System Analyst
Zydus Cadila Opening Regulatory Affairs,Not Disclosed by Recruiter,6-11,project_management ctd_dossier ectd_regulatory_affairs ectd_ctd life_cycle due_diligence anda dossier ectd_dmf veterinary regulatory_compliance nda cmc_documentation animal_health cmc_co_-_ordintor regulatory_affairs ctd_registration cmc_dossiers ind,Drug_Regulatory_Affairs Documentation,AHMEDABAD,Medical Healthcare R&D Pharmaceuticals Biotechnology,Pharma Biotech Clinical_Research,Regulatory Affairs Manager
Manager Compensation and Benefit,Not Disclosed by Recruiter,8-10,compensation_benchmarking,HR Recruitment IR,BENGALURU,HR Recruitment Administration IR,IT-Software Software_Services,HR Manager
 Net Developer,"1,75,000-2,75,000",1-3,asp.net_mvc jquery ado.net javascript ms_sql_server mvc web_services,Programming_&_Design,CHENNAI,IT_Software,BPO Call_Centre ITeS,Software Developer
Officer executive Safety Qualification Adis ,"3,50,000-4,75,000",4-9,accident fire_safety safety statutory_compliance,Safety Health Environment,MUMBAI SUBURBS,Production Manufacturing Maintenance,Automobile Auto_Anciliary Auto_Components,Safety Officer/Manager
Software Engineer I,Not Disclosed by Recruiter,2-4,unix linux perl automation python troubleshooting workflow physical_design debugging computer_science,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
Automation Sales MGR pune Chakan Project Selling,Not Disclosed by Recruiter,5-10,turnkey_projects bom project_tracking costing business_development sales budgeting,Sales,PUNE,Sales Retail Business_Development,Office_Equipment Automation,Sales/Business Development Manager
Business Development Executive for American Express sales ,Not Disclosed by Recruiter,0-3,bde marketing_executive direct_sales direct_marketing business_development_executive business_development sales_marketing mba_fresher corporate_sales sales_executive,Sales,PUNE,Sales Retail Business_Development,Banking Financial_Services Broking,Sales Executive/Officer
continental chef,Not Disclosed by Recruiter,1-5,recruitment continental_chef continental_cook food_production executive_chef commie_3 usage production_executive,Food_&_Beverage,MUMBAI THANE,Hotels Restaurants,IT-Software Software_Services,Executive Sous Chef/Chef De Cuisine
Relationship Manager Commercial Banking,Not Disclosed by Recruiter,5-10,mining due_diligence compliance anti_money_laundering banking commercial_banking business_strategy risk_management portfolio_management operations,Retail Personal_Banking,MUMBAI,Financial_Services Banking Investments Insurance,Education Teaching Training,Regional Manager
ASSISTANT MANAGER CMMI,Not Disclosed by Recruiter,5-10,presentation service_excellence process_improvement_initiatives cobit implementation cmmi presentation_skills appraisal agile grievance_handling,QA Testing Documentation,MUMBAI,IT_Software,Banking Financial_Services Broking,Quality Assurance/Quality Control Executive
Executive Regulatory Support,Not Disclosed by Recruiter,1-3,primary_research follow_ups,Other,DELHI,Strategy Management_Consulting Corporate_Planning,Advertising PR MR Event_Management,Freshers
Database Analyst,Not Disclosed by Recruiter,2-5,paas saas web analyst designing applications,Programming_&_Design,SECUNDERABAD HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
Software Engineer,Not Disclosed by Recruiter,1-3,javascript hibernate ajax coding debugging ssl computer_science ux schema git,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Polytechnic Dean,Not Disclosed by Recruiter,15-18,counselor teaching mentor trainer advisor,University_Level,NOIDA GREATER,Teaching Education Training Counselling,Education Teaching Training,Dean / Director
Area Head Corporate Sales ,Not Disclosed by Recruiter,8-12,supervisor claims networking area_head mis client_acquisition market_penetration,Sales,MUMBAI,Sales Retail Business_Development,Construction Engineering Cement Metals,Branch Manager/Regional Manager
Quikr Homes Sales Manager Enterprise Accounts,"7,00,000-10,00,000",5-9,sales_management profitability team_building enterprise_sales business_development,Sales,MUMBAI,Sales Retail Business_Development,Internet Ecommerce,Area Sales Manager
Voice Process customer Care Executive freshers fluent English,"1,25,000-3,00,000",0-2,tele_calling night_shift fresher international_bpo international_voice_process customer_service international_call_center customer_support cbse,Voice,PUNE,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Telecalling/Telemarketing Executive
Project Manager SCU,Not Disclosed by Recruiter,6-8,project_reports project_documentation risk_management packaging budget_management quality_management,Programming_&_Design,HOSUR BENGALURU,IT_Software,Automobile Auto_Anciliary Auto_Components,Project Lead
Role Title Scientist Product Selection Ideation,Not Disclosed by Recruiter,5-6,product_selection_and_ideation,R&D,HYDERABAD,Medical Healthcare R&D Pharmaceuticals Biotechnology,Pharma Biotech Clinical_Research,Formulation Scientist
Hiring Executive Retail Design Delivery Inorbit Malls BKC ,Not Disclosed by Recruiter,2-5,project_management dip_interior_design commercial_projects design_management site_coordination working_drawings planning detailing interiors b_architect retail_design architecture archi,Interior_Design,MUMBAI,Architecture Interior_Design,Retail Wholesale,Interior Designer
Project Coordinator,"12,00,000-22,00,000",5-10,project_management project_coordination rfq execution rfis subcontractors,Site_Engineering,CHENNAI KOLKATA HYDERABAD,Site_Engineering Project_Management,Construction Engineering Cement Metals,Construction-General Building
Cluster Head Team Handling Agency Channel CTC To Lakhs,"15,00,000-20,00,000",10-20,regional_manager ach area_manager senior_manager sales_&_distribution life_insurance cluster_head insurance_sales branch_manager branch_head deputy_branch_manager avp,Sales,CHANDIGARH LUDHIANA JALANDHAR,Sales Retail Business_Development,Insurance,Branch Manager
PHP Developer,Not Disclosed by Recruiter,2-6,codeigniter javascript ajax jquery php mysql web_technologies project_development requirement_gathering,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Client Servicing Executive,Not Disclosed by Recruiter,2-3,manager_client_servicing client_service_executive silicon advertising,Advertising,THANE,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Client Servicing Executive
Java Developer,"1,50,000-4,50,000",1-6,web_services object_oriented_design mvc_architecture nosql core_java java design_patterns core_java_developer mongodb,Programming_&_Design,NCR DELHI,IT_Software,IT-Software Software_Services,Software Developer
Medical Coder Jobs Zoology Microbiology Biology Freshers,"2,50,000-2,75,000",0-2,biotechnology radiology microbiology nursing biomedical nutrition bsc biochemistry pharmacy life_sciences optometry zoology,Medical_Professional,ERODE CHENNAI KARUR,Medical Healthcare R&D Pharmaceuticals Biotechnology,Medical Healthcare Hospitals,Medical Officer
SAP MDM Developer Aeronube Technology Bangalore,Not Disclosed by Recruiter,2-3,data_modelling data_manager console import_manager sap_mdm,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Functional Outside Consultant
Customer Care Executive domestic Call Center,"1,75,000-3,50,000",0-3,bpo customer_calling domestic_bpo cce inbound back_office customer_care call_center kpo fresher voice_process technical_process international_call_center telecalling domestic_calling inbound_calling,Voice,GURGAON NOIDA NCR DELHI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Telecalling/Telemarketing Executive
Web Designer,Not Disclosed by Recruiter,2-4,help_desk customer_service customer_relationship access_controls asset_management vendor_management,Creative,CHENNAI,Design Creative User_Experience,IT-Software Software_Services,Web Designer
Chemical Engineer with a well Known Chemical Manufacturing Co taloja,"4,00,000-4,50,000",4-6,dcs production_planning,N.A.,NAVI MUMBAI,Production Manufacturing Maintenance,Chemicals PetroChemical Plastic Rubber,Industrial Engineer
MALE B SC IN General Fresher Candidates industrial Sales ,Not Disclosed by Recruiter,0-1,industrial_sales bsc ise cbse,Other,KOLKATA,Sales Retail Business_Development,Iron_and_Steel,Trainee
WPF Software Developer,Not Disclosed by Recruiter,1-3,mysql wcf sql coding debugging winforms visual_studio stored_procedures wpf sdlc,Programming_&_Design,PUNE,IT_Software,Construction Engineering Cement Metals,Software Developer
Data Head,Not Disclosed by Recruiter,10-15,jewellery algorithms software_development gems documentation term_loans devops project_finance loan real_estate corporate_loans working_capital,Senior_Management,BENGALURU,IT_Software,Media Entertainment Internet,Head/VP/GM-Technology(IT)/CTO
Senior Manager AVP Legal,"10,00,000-20,00,000",6-11,avp senior_management legal_documentation legal_manager,N.A.,MUMBAI,Legal Regulatory Intellectual_Property,Banking Financial_Services Broking,Legal Manager
Medical transcriptionist DU ,Not Disclosed by Recruiter,1-3,medical time medical_transcription direct sound database business_executive focus medicine management_trainee,Other,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Medical Transcriptionist
Digital Media Professional Adwords Social Media V ,Not Disclosed by Recruiter,2-7,digital ppc social_media digital_marketing adwords linkedin lead_generation digital_media youtube online sem seo facebook,Online Digital_Marketing,NOIDA,Marketing Advertising MR PR Media_Planning,Real_Estate Property,Social Media Marketing Manager
Inbound Voice Process Executive,"2,50,000-3,00,000",0-3,customer_service inbound_voice_process customer_handling sales communication_skills bpo international_call_center international_bpo international_voice_process call_center_operations cce cca cse csa csr,Voice,NOIDA,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
SAP Concur Developer Java ,Not Disclosed by Recruiter,5-10,java css rest xml mysql bootstrap node.js json spring jquery,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Outbound Sales In UK Shift International bpo,Not Disclosed by Recruiter,0-2,telecom process outbound_process target customer_care_executive typing outbound_sales presentable international_bpo,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Urgent Hiring For Mortage Process Team Member Gurgaon,"50,000-3,00,000",1-3,mortgage home_loans mortgage_loans,Voice,GURGAON NCR DELHI,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Senior Manager Record to Reports North America,Not Disclosed by Recruiter,8-10,sap outsourcing life_sciences agrochemical robotics operations reconciliation accountancy balance_sheet financial_statements,Accounts,NOIDA GREATER,Accounts Finance Tax Company_Secretary Audit,Pharma Biotech Clinical_Research,Chartered Accountant
Member Product Engineering,Not Disclosed by Recruiter,3-7,agile elastic_search c# wpf wcf entity_framework,Programming_&_Design,PUNE BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
RCU Manager Kolkata patna,"4,00,000-6,50,000",3-8,risk_management fraud_investigation,N.A.,KOLKATA PATNA,Other,Banking Financial_Services Broking,Other
Delivery Module Lead,Not Disclosed by Recruiter,5-8,intercompany_accounting finance taxation payables client_management team_management cash_management client_satisfaction general_ledger performance_management cloud_apps paas hr payroll oracle_fusion_hcm,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Data Analyst SAS SQL Hive and Python,Not Disclosed by Recruiter,1-3,advance_sas sql python hive campaign_management data_analysis data_analytics data_mining etl_testing etl_developer,Analytics_&_BI,GURGAON,Analytics_&_Business_Intelligence,Banking Financial_Services Broking,Data Analyst
Senior Artist and Tech Lead,Not Disclosed by Recruiter,8-13,automotive fmcg graphics texturing vray international_clients interpersonal_skills workflow_management surface_modeling photoshop,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Senior Executive Sales Communication Trainer Wipro Chennai,Not Disclosed by Recruiter,2-3,training communication_trainer sales_training sales_executive_activities,HR Recruitment IR,CHENNAI,HR Recruitment Administration IR,BPO Call_Centre ITeS,Training Manager
UI UX Designer,Not Disclosed by Recruiter,6-11,user_research interaction_design ux usability_testing health_care_services,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Graphic/Web Designer
Manager IT Operations Cloud Infrastructure Computing,Not Disclosed by Recruiter,12-20,change_management cloud_computing it_risk rdbms cloud incident_management it_operations,Senior_Management,HYDERABAD,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Head/VP/GM-Operations
AX AX X developer,Not Disclosed by Recruiter,5-8,ax_2012_ax_x_developer_with_good_communication who_can_work_independently work_with_client_directly with_5_to_8_years_of_experience,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Package Consultant SAP FIN CO,Not Disclosed by Recruiter,4-6,product_costing ar enterprise_manager configuration finance financial_accounting production_planning accounts_receivable accounts_payable ap,Programming_&_Design,KOLKATA,IT_Software,IT-Software Software_Services,Functional Outside Consultant
Ingram Micro Careers Deputy Manager Finance IND,Not Disclosed by Recruiter,7-10,trade management mis deputy_manager_finance vendor debit forecasting balance_sheet monitoring,N.A.,CHENNAI,Accounts Finance Tax Company_Secretary Audit,IT-Software Software_Services,Finance/Budgeting Manager
Account Executive Years Exp commodity Company in Gurgaon,"2,00,000-3,50,000",2-7,accounts_executive excel accounts_assistant tally_erp accounting senior_accounts_executive accounts_officer accountant,Accounts,GURGAON,Accounts Finance Tax Company_Secretary Audit,Banking Financial_Services Broking,Accounts Executive/Accountant
Full Stack Developer Advertising,Not Disclosed by Recruiter,2-7,c++ c design mysql javascript html,Programming_&_Design,GURGAON,IT_Software,Recruitment Staffing,Software Developer
ACN Digital Analytics FS Analytics Professional,Not Disclosed by Recruiter,4-5,sql sas business_intelligence data_modeling data_analysis ms_access account_management schema publishing data_security,Analytics_&_BI,BENGALURU,Analytics_&_Business_Intelligence,IT-Software Software_Services,Data Analyst
Walk IN Software Developer th May ,"2,25,000-7,25,000",1-6,css java asp.net android php html ios,Programming_&_Design,CHENNAI,IT_Software,IT-Software Software_Services,Software Developer
Economic Analyst,Not Disclosed by Recruiter,3-5,economics analyst infrastructure labour taxation research econometrics statistics cost revenue_collection,N.A.,HYDERABAD,Accounts Finance Tax Company_Secretary Audit,IT-Software Software_Services,Financial Analyst
Store Manager Amritsar female ,"3,75,000-4,50,000",3-4,sales store_management,Sales,MUMBAI AMRITSAR GURGAON,Sales Retail Business_Development,Retail Wholesale,Retail Store Manager
Head Accountants Taxation,Not Disclosed by Recruiter,15-20,pmp taxation computer_accounting construction_chemicals,Accounts,PUNE,Accounts Finance Tax Company_Secretary Audit,Recruitment Staffing,Accounts Executive/Accountant
Walk in Interview For AGM Profile Multiple Location,"2,50,000-4,00,000",1-4,hotel_manager hospitality restaurant_manager bar_assistant_manager direct_sales bar_manager customer_handling,Food_&_Beverage,PANJIM BENGALURU,Hotels Restaurants,Travel Hotels Restaurants Airlines Railways,Captain
Customer Care Executive UK Survey Process ,Not Disclosed by Recruiter,3-5,outbound windows customer_service_executive voice_process basic customer_care_executive typing_speed sales,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Assay Development,"5,00,000-15,00,000",2-5,pdcs,R&D,BENGALURU,Medical Healthcare R&D Pharmaceuticals Biotechnology,Pharma Biotech Clinical_Research,Research Scientist
Node JS Architect Pune,Not Disclosed by Recruiter,12-16,design rest coding node.js development web_services data_integration javascript microservices application_development,Programming_&_Design,PUNE,IT_Software,IT-Software Software_Services,Technical Architect
Sales Executive,"2,00,000-2,25,000",1-2,loan sales_executive_activities credit_cards personal_loans field_sales,Sales,RANCHI KOLKATA PATNA,Sales Retail Business_Development,Banking Financial_Services Broking,Sales Executive/Officer
HR Female ,Not Disclosed by Recruiter,1-6,copyright english cv email payment_followup scheduling seo ms_office asterisk,Sales,NOIDA,Sales Retail Business_Development,IT-Software Software_Services,Sales Executive/Officer
Customer Care Professional,Not Disclosed by Recruiter,1-3,customer_service customer_experience servicing customer_care_professional quality_compliance manager_technology finance networking,Voice,GURGAON,ITES BPO KPO LPO Customer_Service Operations,Banking Financial_Services Broking,Associate/Senior Associate -(NonTechnical)
Urgent Opening for Hp dma role,"10,00,000-20,00,000",4-9,upgrade database_administration hp dma,Programming_&_Design,PUNE BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Sr Manager Assistant VP Infrastructure Investment Banking,Not Disclosed by Recruiter,4-6,due_diligence project_finance nbfc mutual_funds structured_finance sez investment_banking financial_modelling private_equity logistics,N.A.,MUMBAI,Financial_Services Banking Investments Insurance,Strategy Management_Consulting_Firms,Operations Manager
Senior Software Engineer,Not Disclosed by Recruiter,4-6,iis change_management jquery linq front_end agile mvc visual_studio test_cases sql,Programming_&_Design,PUNE,IT_Software,IT-Software Software_Services,Software Developer
Area Sales Manager FMCG,Not Disclosed by Recruiter,7-10,c networking area_sales fmcg_sales sales_executive retail_sales,Sales,GURGAON AMBALA,Sales Retail Business_Development,Recruitment Staffing,Sales/Business Development Manager
Direct Walk In for Command Center Monitoring Executive Navi Mumbai,"1,00,000-1,75,000",1-5,command_center monitoring atm,Voice,NAVI MUMBAI,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(Technical)
SAP for Governance Risk Compliance grc ,Not Disclosed by Recruiter,8-10,sap_security sap_grc application_security identity_management information_security security_implementation enterprise_portal risk_compliance access_control,N.A.,KOLKATA,IT_Software,IT-Software Software_Services,Outside Consultant
Quality Assurance Test Engineer,Not Disclosed by Recruiter,1-6,configuration_management software_quality_assurance debugging technical_support testing scripting,Programming_&_Design,GURGAON,IT_Software,IT-Software Software_Services,Testing Engineer
P Software Engineer Mainframes DSTPS,Not Disclosed by Recruiter,5-9,analytical troubleshooting sdlc mainframes,Programming_&_Design,HYDERABAD,IT_Software,Strategy Management_Consulting_Firms,Software Developer
Openings for Biomedical Biotechnology Graduates Angel HR,Not Disclosed by Recruiter,0-1,icd_-_10 health_care_services cpt healthcare medical_coding,Medical_Professional,CHENNAI VELLORE TIRUPATI COIMBATORE TIRUNELVELI TRICHY TUTICORIN SALEM,Medical Healthcare R&D Pharmaceuticals Biotechnology,Medical Healthcare Hospitals,Medical Officer
